id,bedrooms,bathrooms,sqft_living,sqft_lot,floors,waterfront,view,condition,grade,sqft_above,sqft_basement,yr_built,yr_renovated,zipcode,lat,long,sqft_living15,sqft_lot15,date,price,house_id,id
1954400510,3.0,2.0,1680.0,8080.0,1.0,0.0,0.0,3,8,1680.0,0.0,1987,0.0,98074,47.6168,-122.045,1800.0,7503.0,2015-02-18,510000.0,1954400510,5
6054650070,3.0,1.75,1370.0,9680.0,1.0,0.0,0.0,4,7,1370.0,0.0,1977,0.0,98074,47.6127,-122.045,1370.0,10208.0,2014-10-07,400000.0,6054650070,14
9297300055,4.0,3.0,2950.0,5000.0,2.0,0.0,3.0,3,9,1980.0,970.0,1979,0.0,98126,47.5714,-122.375,2140.0,4000.0,2015-01-24,650000.0,9297300055,16
8091400200,2.0,1.5,1070.0,9643.0,1.0,,0.0,3,7,1070.0,0.0,1985,,98030,47.3533,-122.166,1220.0,8386.0,2014-05-16,252700.0,8091400200,24
3814700200,3.0,2.25,2450.0,6500.0,2.0,0.0,0.0,4,8,2450.0,0.0,1985,0.0,98030,47.3739,-122.17298,2200.0,6865.0,2014-11-20,329000.0,3814700200,25
7955080270,4.0,2.75,2060.0,6659.0,1.0,0.0,0.0,3,7,1280.0,780.0,1981,0.0,98058,47.4276,-122.157,2020.0,8720.0,2014-12-03,322500.0,7955080270,35
7766200013,4.0,2.25,4220.0,24186.0,1.0,0.0,0.0,3,8,2600.0,1620.0,1984,0.0,98166,47.445,-122.347,2410.0,30617.0,2014-08-11,775000.0,7766200013,42
4178300310,4.0,2.5,2290.0,13416.0,2.0,0.0,0.0,4,9,2290.0,0.0,1981,0.0,98007,47.6194,-122.151,2680.0,13685.0,2014-07-16,785000.0,4178300310,48
3626039271,2.0,1.75,1980.0,8550.0,1.0,0.0,0.0,3,7,990.0,990.0,1981,0.0,98117,47.6989,-122.369,1480.0,6738.0,2015-02-05,585000.0,3626039271,54
8079040320,4.0,3.0,1850.0,9976.0,2.0,0.0,0.0,3,8,1850.0,0.0,1991,0.0,98059,47.5059,-122.149,2270.0,8542.0,2015-02-23,430000.0,8079040320,60
1189001180,3.0,2.25,1660.0,6000.0,1.0,0.0,0.0,3,7,1110.0,550.0,1979,0.0,98122,47.6113,-122.297,1440.0,4080.0,2014-06-03,425000.0,1189001180,65
3394100030,4.0,2.5,2720.0,11049.0,2.0,,0.0,3,10,2720.0,0.0,1989,0.0,98004,47.5815,-122.192,2750.0,11049.0,2014-09-09,975000.0,3394100030,67
3276920270,4.0,4.0,3430.0,35102.0,2.0,0.0,0.0,4,10,2390.0,1040.0,1986,0.0,98075,47.5822,-121.987,3240.0,35020.0,2014-11-05,832500.0,3276920270,76
7437100340,4.0,2.5,1900.0,5889.0,2.0,0.0,0.0,3,7,1900.0,0.0,1992,0.0,98038,47.349,-122.031,1870.0,6405.0,2014-12-22,360000.0,7437100340,82
1332700270,2.0,2.25,1610.0,2040.0,2.0,0.0,0.0,4,7,1610.0,0.0,1979,,98056,47.518,-122.194,1950.0,2025.0,2014-05-19,215000.0,1332700270,89
2791500270,4.0,2.5,1980.0,7403.0,2.0,0.0,0.0,3,7,1980.0,0.0,1988,0.0,98023,47.2897,-122.372,1980.0,7510.0,2014-05-22,243500.0,2791500270,91
1099611230,4.0,1.5,1160.0,6400.0,1.0,0.0,0.0,4,7,1160.0,0.0,1975,0.0,98023,47.3036,-122.378,1160.0,6400.0,2014-09-12,199000.0,1099611230,98
722079104,3.0,1.75,1810.0,41800.0,1.0,0.0,0.0,5,7,1210.0,600.0,1980,0.0,98038,47.4109,-121.958,1650.0,135036.0,2014-07-11,314000.0,722079104,99
7338200240,3.0,2.5,2320.0,36847.0,2.0,0.0,2.0,3,9,2320.0,0.0,1992,0.0,98045,47.4838,-121.714,2550.0,35065.0,2014-05-16,437500.0,7338200240,100
7214720075,3.0,2.25,2190.0,107593.0,2.0,0.0,0.0,4,8,2190.0,0.0,1983,0.0,98077,47.7731,-122.08,2570.0,47777.0,2014-12-12,699950.0,7214720075,103
1328310370,3.0,2.5,2340.0,10005.0,1.0,,0.0,4,8,1460.0,880.0,1978,,98058,47.4431,-122.133,2250.0,8162.0,2015-04-02,375000.0,1328310370,106
3530510041,2.0,1.75,1240.0,2493.0,1.0,0.0,0.0,4,8,1240.0,0.0,1985,0.0,98198,47.3813,-122.322,1270.0,4966.0,2014-07-23,188500.0,3530510041,108
1853000400,4.0,2.5,3140.0,28037.0,2.0,0.0,0.0,4,10,3140.0,0.0,1991,0.0,98077,47.7304,-122.082,2990.0,35001.0,2015-03-05,680000.0,1853000400,109
9545230140,4.0,2.5,2310.0,9624.0,2.0,0.0,0.0,3,8,2310.0,0.0,1984,,98027,47.5386,-122.053,1940.0,9636.0,2014-07-25,597750.0,9545230140,111
2525310310,3.0,1.75,1540.0,12600.0,1.0,0.0,0.0,4,7,1160.0,,1980,0.0,98038,47.3624,-122.031,1540.0,11656.0,2014-09-16,272500.0,2525310310,113
6675500070,3.0,2.0,1450.0,9132.0,1.0,0.0,0.0,3,7,1450.0,0.0,1987,,98034,47.7288,-122.226,1580.0,9104.0,2014-11-19,391500.0,6675500070,122
3275860240,3.0,2.25,2910.0,10204.0,2.0,0.0,0.0,3,9,2910.0,0.0,1990,0.0,98052,47.6897,-122.098,2700.0,13992.0,2014-06-18,770000.0,3275860240,125
8732020310,4.0,2.25,2160.0,8811.0,1.0,0.0,0.0,3,8,1360.0,800.0,1978,,98023,47.3129,-122.39,2090.0,8400.0,2014-07-17,260000.0,8732020310,128
3668000070,3.0,1.75,1060.0,7875.0,1.0,0.0,0.0,4,7,1060.0,0.0,1986,0.0,98092,47.2761,-122.152,1420.0,7680.0,2015-01-05,212000.0,3668000070,131
9545240070,4.0,2.25,2010.0,9603.0,1.0,0.0,0.0,3,8,1440.0,570.0,1986,0.0,98027,47.5343,-122.054,2060.0,9793.0,2015-04-28,660500.0,9545240070,132
1243100136,3.0,3.5,3950.0,111078.0,1.5,0.0,0.0,3,9,2460.0,1490.0,1989,0.0,98052,47.697,-122.072,2480.0,88500.0,2014-06-12,784000.0,1243100136,133
3992700335,2.0,1.0,1190.0,4440.0,1.0,0.0,0.0,3,6,1190.0,0.0,1981,0.0,98125,47.7135,-122.287,1060.0,5715.0,2014-07-07,382500.0,3992700335,139
3362900810,3.0,2.0,1360.0,3090.0,2.0,0.0,0.0,3,8,1360.0,0.0,1990,0.0,98103,47.6838,-122.353,1500.0,3090.0,2014-08-20,532170.0,3362900810,151
3574800520,3.0,2.75,1910.0,7280.0,1.0,0.0,0.0,3,7,1160.0,750.0,1979,0.0,98034,47.7319,-122.224,1710.0,8152.0,2014-06-20,441000.0,3574800520,164
2617300160,3.0,2.0,2020.0,38332.0,1.0,0.0,0.0,4,7,1010.0,1010.0,1975,0.0,98027,47.4582,-122.023,2110.0,36590.0,2014-08-12,420000.0,2617300160,165
